TARGET_ID,Ind,Pop
A ten 020,A ten 020,Wreck
A ten 027,A ten 027,Wreck
A ten 031,A ten 031,Wreck
A ten 032,A ten 032,Wreck
A ten 036,A ten 036,Frederick
A ten 039,A ten 039,Frederick
A ten 047,A ten 047,Frederick
A ten 062,A ten 062,Marion
A ten 063,A ten 063,Marion
A ten 065,A ten 065,Marion
A ten 066,A ten 066,Marion
A ten 067,A ten 067,Marion
A ten 070,A ten 070,Marion
A ten 073,A ten 073,Marion
A ten 076,A ten 076,Marion
A ten 081,A ten 081,Marion
A ten 082,A ten 082,Marion
A ten 084,A ten 084,Marion
A ten 088,A ten 088,Marion
A ten 091,A ten 091,Marion
A ten 095,A ten 095,Marion
A ten 106,A ten 106,Flinders
A ten 113,A ten 113,Flinders
A ten 117,A ten 117,Flinders
A ten 126,A ten 126,Flinders
A ten 129,A ten 129,Herald
A ten 135,A ten 135,Herald
A ten 139,A ten 139,Herald
A ten 140,A ten 140,Herald
A ten 141,A ten 141,Herald
A ten 142,A ten 142,Herald
A ten 145,A ten 145,Herald
A ten 147,A ten 147,Chilcott
A ten 149,A ten 149,Chilcott
A ten 150,A ten 150,Chilcott
A ten 151,A ten 151,Chilcott
A ten 153,A ten 153,Chilcott
A ten 155,A ten 155,Chilcott
A ten 157,A ten 157,Chilcott
A ten 163,A ten 163,Chilcott
A ten 164,A ten 164,Chilcott
A ten 174,A ten 174,Lihou
A ten 176,A ten 176,Lihou
A ten 179,A ten 179,Lihou
A ten 181,A ten 181,Lihou
A ten 182,A ten 182,Lihou
A ten 183,A ten 183,Lihou
A ten 184,A ten 184,Lihou
A ten 187,A ten 187,Lihou
A ten 188,A ten 188,Lihou
A ten 192,A ten 192,Lihou
A ten193,A ten193,Lihou
A ten 197,A ten 197,Lihou
A ten 198,A ten 198,Lihou
A ten 207,A ten 207,Moore
A ten 210,A ten 210,Moore
A ten 211,A ten 211,Moore
A ten 214,A ten 214,Moore
A ten 215,A ten 215,Moore
A ten 216,A ten 216,Moore
A ten 218,A ten 218,Moore
A ten 238,A ten 238,Holmes
A ten 240,A ten 240,Holmes
A ten 243,A ten 243,Holmes
A ten 299,A ten 299,Osprey
A ten 301,A ten 301,Osprey
A ten 012,A ten 012,Wreck
A ten 013,A ten 013,Wreck
A ten 021,A ten 021,Wreck
A ten 034,A ten 034,Wreck
A ten 035,A ten 035,Wreck
A ten 038,A ten 038,Frederick
A ten 043,A ten 043,Frederick
A ten 046,A ten 046,Frederick
A ten 049,A ten 049,Frederick
A ten 050,A ten 050,Frederick
A ten 069,A ten 069,Marion
A ten 071,A ten 071,Marion
A ten 072,A ten 072,Marion
A ten 074,A ten 074,Marion
A ten 075,A ten 075,Marion
A ten 077,A ten 077,Marion
A ten 078,A ten 078,Marion
A ten 079,A ten 079,Marion
A ten 080,A ten 080,Marion
A ten 096,A ten 096,Marion
A ten 097,A ten 097,Marion
A ten 102,A ten 102,Flinders
A ten 103,A ten 103,Flinders
A ten 104,A ten 104,Flinders
A ten 107,A ten 107,Flinders
A ten 109,A ten 109,Flinders
A ten 110,A ten 110,Flinders
A ten 111,A ten 111,Flinders
A ten 114,A ten 114,Flinders
A ten 115,A ten 115,Flinders
A ten 118,A ten 118,Flinders
A ten 123,A ten 123,Flinders
A ten 124,A ten 124,Flinders
A ten 125,A ten 125,Flinders
A ten 128,A ten 128,Herald
A ten 131,A ten 131,Herald
A ten 132,A ten 132,Herald
A ten 133,A ten 133,Herald
A ten 134,A ten 134,Herald
A ten 137,A ten 137,Herald
A ten 138,A ten 138,Herald
A ten 143,A ten 143,Herald
A ten 146,A ten 146,Herald
A ten 152,A ten 152,Chilcott
A ten 154,A ten 154,Chilcott
A ten 158,A ten 158,Chilcott
A ten 160,A ten 160,Chilcott
A ten 161,A ten 161,Chilcott
A ten 162,A ten 162,Chilcott
A ten 170,A ten 170,Lihou
A ten 178,A ten 178,Lihou
A ten 185,A ten 185,Lihou
A ten 189,A ten 189,Lihou
A ten 191,A ten 191,Lihou
A ten 209,A ten 209,Moore
A ten 212,A ten 212,Moore
A ten 213,A ten 213,Moore
A ten 217,A ten 217,Moore
A ten 221,A ten 221,Moore
A ten 223,A ten 223,Moore
A ten 227,A ten 227,Holmes
A ten 231,A ten 231,Holmes
A ten 232,A ten 232,Holmes
A ten 237,A ten 237,Holmes
A ten 239,A ten 239,Holmes
A ten 241,A ten 241,Holmes
A ten 244,A ten 244,Holmes
A ten 248,A ten 248,Holmes
A ten 249,A ten 249,Holmes
A ten 250,A ten 250,Holmes
A ten 253,A ten 253,Holmes
A ten 292,A ten 292,Osprey
A ten 294,A ten 294,Osprey
A ten 295,A ten 295,Osprey
A ten 297,A ten 297,Osprey
A ten 298,A ten 298,Osprey
A ten 014,A ten 014,Wreck
A ten 015,A ten 015,Wreck
A ten 016,A ten 016,Wreck
A ten 022,A ten 022,Wreck
A ten 029,A ten 029,Wreck
A ten 033,A ten 033,Wreck
A ten 064,A ten 064,Marion
A ten 098,A ten 098,Flinders
A ten 101,A ten 101,Flinders
A ten 105,A ten 105,Flinders
A ten 108,A ten 108,Flinders
A ten 112,A ten 112,Flinders
A ten 116,A ten 116,Flinders
A ten 119,A ten 119,Flinders
A ten 120,A ten 120,Flinders
A ten 121,A ten 121,Flinders
A ten 122,A ten 122,Flinders
A ten 127,A ten 127,Flinders
A ten 136,A ten 136,Herald
A ten 148,A ten 148,Chilcott
A ten 156,A ten 156,Chilcott
A ten 159,A ten 159,Chilcott
A ten 169,A ten 169,Lihou
A ten 172,A ten 172,Lihou
A ten 173,A ten 173,Lihou
A ten 175,A ten 175,Lihou
A ten 180,A ten 180,Lihou
A ten 186,A ten 186,Lihou
A ten 190,A ten 190,Lihou
A ten 195,A ten 195,Lihou
A ten 196,A ten 196,Lihou
A ten 199,A ten 199,Lihou
A ten 200,A ten 200,Lihou
A ten 208,A ten 208,Moore
A ten 219,A ten 219,Moore
