"Cluster 1","Cluster 2","Ind","Site"
0.92931,0.0706896,"A ten 074","Marion"
0.978454,0.0215461,"A ten 096","Marion"
0.9999,1e-04,"A ten 111","Flinders"
0.971117,0.028883,"A ten 131","Herald"
0.970299,0.0297014,"A ten 146","Herald"
0.832242,0.167758,"A ten 177","Lihou"
0.9999,1e-04,"A ten 217","Moore"
0.888052,0.111948,"A ten 021","Wreck"
0.986003,0.0139969,"A ten 241","Holmes"
0.530386,0.469614,"A ten 279","Bougainville"
0.914497,0.0855025,"A ten 298","Osprey"
0.937178,0.0628224,"A ten 046","Frederick"
0.9999,1e-04,"A ten 075","Marion"
0.952397,0.0476035,"A ten 097","Marion"
0.947585,0.0524145,"A ten 114","Flinders"
0.9999,1e-04,"A ten 132","Herald"
0.993441,0.00655886,"A ten 152","Chilcott"
0.982559,0.0174406,"A ten 178","Lihou"
0.986076,0.0139243,"A ten 221","Moore"
0.124624,0.875376,"A ten 028","Wreck"
0.9999,1e-04,"A ten 244","Holmes"
1e-04,0.9999,"A ten 284","Bougainville"
0.837415,0.162585,"A ten 300","Osprey"
0.949109,0.0508911,"A ten 049","Frederick"
0.999078,0.000921725,"A ten 077","Marion"
0.938097,0.0619027,"A ten 102","Flinders"
0.994462,0.00553832,"A ten 115","Flinders"
0.984701,0.0152991,"A ten 133","Herald"
0.9999,1e-04,"A ten 154","Chilcott"
0.972457,0.0275433,"A ten 185","Lihou"
0.988054,0.0119463,"A ten 223","Moore"
0.0878895,0.912111,"A ten 034","Wreck"
0.521751,0.478249,"A ten 246","Holmes"
1e-04,0.9999,"A ten 288","Bougainville"
0.726993,0.273007,"A ten 305","Osprey"
0.938625,0.0613748,"A ten 050","Frederick"
0.9999,1e-04,"A ten 078","Marion"
0.96321,0.0367904,"A ten 103","Flinders"
0.972037,0.0279633,"A ten 118","Flinders"
0.997169,0.00283084,"A ten 134","Herald"
0.941943,0.0580567,"A ten 158","Chilcott"
0.952824,0.0471757,"A ten 189","Lihou"
0.950182,0.0498185,"A ten 227","Holmes"
0.896153,0.103847,"A ten 035","Wreck"
0.9999,1e-04,"A ten 248","Holmes"
1e-04,0.9999,"A ten 290","Bougainville"
0.453631,0.546369,"A ten 051","Frederick"
0.953554,0.0464462,"A ten 079","Marion"
0.969889,0.0301105,"A ten 104","Flinders"
0.960507,0.0394931,"A ten 123","Flinders"
0.942383,0.0576173,"A ten 137","Herald"
0.993217,0.00678325,"A ten 160","Chilcott"
0.978422,0.0215782,"A ten 191","Lihou"
0.938711,0.0612894,"A ten 231","Holmes"
0.935949,0.0640507,"A ten 038","Frederick"
0.9999,1e-04,"A ten 249","Holmes"
0.890613,0.109387,"A ten 292","Osprey"
0.973542,0.0264582,"A ten 069","Marion"
0.9999,1e-04,"A ten 080","Marion"
0.970315,0.0296854,"A ten 107","Flinders"
0.949599,0.0504008,"A ten 124","Flinders"
0.922106,0.0778939,"A ten 138","Herald"
0.952258,0.0477422,"A ten 161","Chilcott"
0.961206,0.0387937,"A ten 209","Moore"
0.965145,0.0348555,"A ten 232","Holmes"
0.90071,0.0992896,"A ten 014","Wreck"
0.9999,1e-04,"A ten 303","Osprey"
0.536503,0.463497,"A ten 052","Frederick"
0.9999,1e-04,"A ten 119","Flinders"
0.974138,0.0258616,"A ten 156","Chilcott"
0.904333,0.0956667,"A ten 186","Lihou"
0.958728,0.0412723,"A ten 220","Moore"
0.966034,0.033966,"A ten 233","Holmes"
0.824742,0.175258,"A ten 254","Holmes"
0.820225,0.179775,"A ten 282","Bougainville"
0.806261,0.193739,"A ten 015","Wreck"
0.998163,0.00183749,"A ten 304","Osprey"
0.962607,0.0373925,"A ten 064","Marion"
0.995996,0.0040041,"A ten 120","Flinders"
0.997549,0.00245063,"A ten 159","Chilcott"
0.9999,1e-04,"A ten 190","Lihou"
0.998052,0.00194752,"A ten 222","Moore"
0.986401,0.0135987,"A ten 235","Holmes"
0.595322,0.404678,"A ten 255","Holmes"
0.942854,0.0571458,"A ten 283","Bougainville"
0.909417,0.0905828,"A ten 016","Wreck"
0.9999,1e-04,"A ten 098","Flinders"
0.932819,0.0671812,"A ten 121","Flinders"
0.975308,0.0246924,"A ten 169","Lihou"
0.9999,1e-04,"A ten 195","Lihou"
0.9999,1e-04,"A ten 224","Moore"
0.9999,1e-04,"A ten 236","Holmes"
0.0243267,0.975673,"A ten 270","Bougainville"
0.0606544,0.939346,"A ten 286","Bougainville"
0.161555,0.838445,"A ten 017","Wreck"
0.933914,0.0660858,"A ten 101","Flinders"
0.955704,0.0442964,"A ten 122","Flinders"
0.749845,0.250155,"A ten 171","Lihou"
0.937941,0.0620594,"A ten 196","Lihou"
0.987737,0.0122628,"A ten 225","Moore"
0.867882,0.132118,"A ten 242","Holmes"
0.979733,0.0202675,"A ten 275","Bougainville"
0.933435,0.0665647,"A ten 022","Wreck"
0.9999,1e-04,"A ten 105","Flinders"
0.951432,0.048568,"A ten 127","Flinders"
0.9999,1e-04,"A ten 172","Lihou"
0.976136,0.0238639,"A ten 199","Lihou"
0.9999,1e-04,"A ten 226","Moore"
0.927183,0.0728165,"A ten 245","Holmes"
0.941182,0.0588175,"A ten 276","Bougainville"
1e-04,0.9999,"A ten 291","Bougainville"
0.872954,0.127046,"A ten 029","Wreck"
0.929031,0.0709687,"A ten 108","Flinders"
0.998553,0.00144696,"A ten 130","Herald"
0.970692,0.0293077,"A ten 173","Lihou"
0.997559,0.00244055,"A ten 200","Lihou"
0.971395,0.0286048,"A ten 228","Holmes"
0.9999,1e-04,"A ten 247","Holmes"
1e-04,0.9999,"A ten 277","Bougainville"
0.933888,0.0661121,"A ten 293","Osprey"
0.919489,0.0805115,"A ten 033","Wreck"
0.949114,0.0508861,"A ten 112","Flinders"
0.917436,0.0825641,"A ten 136","Herald"
0.9999,1e-04,"A ten 175","Lihou"
0.992968,0.00703216,"A ten 208","Moore"
0.9618,0.0382005,"A ten 229","Holmes"
0.980465,0.0195354,"A ten 251","Holmes"
0.94006,0.0599399,"A ten 278","Bougainville"
0.911902,0.0880982,"A ten 296","Osprey"
0.142995,0.857005,"A ten 048","Frederick"
0.9999,1e-04,"A ten 116","Flinders"
0.988998,0.0110024,"A ten 148","Chilcott"
0.9999,1e-04,"A ten 180","Lihou"
0.91655,0.0834504,"A ten 219","Moore"
0.971744,0.0282559,"A ten 230","Holmes"
0.581422,0.418578,"A ten 252","Holmes"
1e-04,0.9999,"A ten 281","Bougainville"
0.779926,0.220074,"A ten 302","Osprey"
